monthyear,crimecount,housing price indexes,consumer_price_index,max_rain,max_snow,max_temperature,min_temperature
2003-01,4695,76.2,100.9,281.8,121.9,15.3,-17.8
2003-02,3969,76.8,101.4,274.6,60.8,18.4,-16.1
2003-03,4346,77.1,102.2,232.6,52.3,19.4,-9.4
2003-04,4652,77.3,102,172.3,4.9,25,-3.3
2003-05,5141,78,101.9,144,0,30.4,0.6
2003-06,5023,78,101.8,135.8,0,30.6,3.9
2003-07,4639,78.1,101.9,89.6,0,31.9,6.7
2003-08,4794,78,102.4,170,0,33.3,6.1
2003-09,4421,78.1,102.7,143.6,0,29.3,0
2003-10,4912,78.5,102.2,287.6,2,23.7,-5.9
2003-11,4381,78.8,102.3,350.8,22.4,18.4,-14.3
2003-12,4294,78.9,102.5,288,89.9,14.9,-17.8
2004-01,4151,80.1,102.2,281.8,121.9,15.3,-17.8
2004-02,3998,80.2,102.7,274.6,60.8,18.4,-16.1
2004-03,4521,80.6,103,232.6,52.3,19.4,-9.4
2004-04,4490,80.9,103.7,172.3,4.9,25,-3.3
2004-05,4474,81.6,104.5,144,0,30.4,0.6
2004-06,4242,81.7,104.6,135.8,0,30.6,3.9
2004-07,4470,81.8,104.5,89.6,0,31.9,6.7
2004-08,4877,82.3,104.5,170,0,33.3,6.1
2004-09,4961,82.4,104.6,169.4,0,29.3,0
2004-10,5018,82.4,104.7,287.6,2,23.7,-5.9
2004-11,4636,82.8,104.7,350.8,22.4,18.4,-14.3
2004-12,4437,83,104.7,288,89.9,14.9,-17.8
2005-01,4158,83,104.8,281.8,121.9,15.3,-17.8
2005-02,3816,83.1,104.9,274.6,60.8,18.4,-16.1
2005-03,4291,83.1,105.2,232.6,52.3,19.4,-9.4
2005-04,4282,84.4,105.7,172.3,4.9,25,-3.3
2005-05,4433,85.6,106,144,0,30.4,0.6
2005-06,4254,85.6,106.1,135.8,0,30.6,3.9
2005-07,4167,86,106.5,89.6,0,31.9,6.7
2005-08,4330,86,106.5,170,0,33.3,6.1
2005-09,4080,86.3,106.8,169.4,0,29.3,0
2005-10,4152,86.3,106.7,287.6,2,23.7,-5.9
2005-11,3832,86.5,106.6,350.8,22.4,18.4,-14.3
2005-12,3836,86.8,106.3,288,89.9,14.9,-17.8
2006-01,4132,87.8,106.2,283.6,121.9,15.3,-17.8
2006-02,3521,88.5,106.3,274.6,60.8,18.4,-16.1
2006-03,3994,88.8,106.9,232.6,52.3,19.4,-9.4
2006-04,3354,89.6,107.5,172.3,4.9,25,-3.3
2006-05,3651,89.9,108.4,144,0,30.4,0.6
2006-06,3871,90.1,108.4,135.8,0,30.6,3.9
2006-07,3998,90.5,108.5,89.6,0,31.9,6.7
2006-08,3945,92.8,108.7,170,0,33.3,6.1
2006-09,3783,93.3,108.4,169.4,0,29.3,0
2006-10,3767,93.8,108.4,287.6,2,23.7,-5.9
2006-11,3560,93.9,108.9,350.8,38.4,18.4,-14.3
2006-12,3703,93.9,109.1,288,89.9,14.9,-17.8
2007-01,3714,93.9,109,283.6,121.9,15.3,-17.8
2007-02,3014,93.9,109.3,274.6,60.8,18.4,-16.1
2007-03,3234,94.9,109.6,232.6,52.3,19.4,-9.4
2007-04,3255,95.6,110,172.3,4.9,25,-3.3
2007-05,3317,97.8,110.6,144,0,30.4,0.6
2007-06,3424,98.7,110.5,135.8,0,30.6,3.9
2007-07,3442,98.9,110.7,89.6,0,31.9,6.7
2007-08,3892,99,110.6,170,0,33.3,6.1
2007-09,3433,99,110.7,169.4,0,29.3,0
2007-10,3370,99.6,110.4,287.6,2,23.7,-5.9
2007-11,3061,99.8,110.4,350.8,38.4,18.4,-14.3
2007-12,2810,99.8,110.5,288,89.9,14.9,-17.8
2008-01,2891,99.9,110.2,283.6,121.9,15.3,-17.8
2008-02,2971,100,110.7,274.6,60.8,18.4,-16.1
2008-03,3456,100.7,111.2,232.6,52.3,19.4,-9.4
2008-04,3093,100.8,112.1,172.3,4.9,25,-3.3
2008-05,3231,100.5,113.2,144,0,30.4,0.6
2008-06,3222,100.4,113.9,135.8,0,30.6,3.9
2008-07,3146,100.5,114.7,89.6,0,31.9,6.7
2008-08,3296,100.4,114.5,170,0,33.3,6.1
2008-09,3213,100.3,114.6,169.4,0,29.3,0
2008-10,3277,99.2,113.4,287.6,2,23.7,-5.9
2008-11,2958,97.5,112.9,350.8,38.4,18.4,-14.3
2008-12,2738,97.5,111.9,288,89.9,14.9,-17.8
2009-01,2826,96.7,112,283.6,121.9,15.3,-17.8
2009-02,2824,94,112.5,274.6,60.8,18.4,-16.1
2009-03,2803,92.9,112.6,232.6,52.3,19.4,-9.4
2009-04,2660,91.7,112.6,172.3,4.9,25,-3.3
2009-05,2922,92.1,113.3,144,0,30.4,0.6
2009-06,2835,91.3,113.3,135.8,0,30.6,3.9
2009-07,2950,92.4,112.9,89.6,0,34.4,6.7
2009-08,3106,92.5,113.6,170,0,33.3,6.1
2009-09,2972,93.8,113.5,169.4,0,29.3,0
2009-10,2890,94.5,112.7,287.6,2,23.7,-5.9
2009-11,2804,94.8,113.1,350.8,38.4,18.4,-14.3
2009-12,2485,95.4,112.7,288,89.9,14.9,-17.8
2010-01,2591,95.8,113.1,283.6,121.9,15.3,-17.8
2010-02,2492,96.3,113.9,274.6,60.8,18.4,-16.1
2010-03,2670,96.9,113.6,232.6,52.3,19.4,-9.4
2010-04,2567,97.2,114.2,172.3,4.9,25,-3.3
2010-05,2665,97.5,114.6,144,0,30.4,0.6
2010-06,2626,97.4,114.5,135.8,0,30.6,3.9
2010-07,2705,96.5,115.7,89.6,0,34.4,6.7
2010-08,3069,96.6,115.7,170,0,33.3,6.1
2010-09,2782,96.2,115.6,169.4,0,29.3,0
2010-10,2874,96.3,116.1,287.6,2,23.7,-5.9
2010-11,2432,96.1,116,350.8,38.4,18.4,-14.3
2010-12,2419,96,115.5,288,89.9,14.9,-17.8
2011-01,2452,96,115.8,283.6,121.9,15.3,-17.8
2011-02,2247,96.1,116,274.6,60.8,18.4,-16.1
2011-03,2466,96.3,117,232.6,52.3,19.4,-9.4
2011-04,2292,96.5,117.2,172.3,4.9,25,-3.3
2011-05,2408,96.7,118,144,0,30.4,0.6
2011-06,3163,96.6,117.5,135.8,0,30.6,3.9
2011-07,2839,96.6,117.5,89.6,0,34.4,6.7
2011-08,2721,96.3,117.7,170,0,33.3,6.1
2011-09,2606,96.3,118.3,169.4,0,29.3,0
2011-10,2445,96.2,118.5,287.6,2,23.7,-5.9
2011-11,2454,95.9,118.7,350.8,38.4,18.4,-14.3
2011-12,2438,95.7,117.7,288,89.9,14.9,-17.8
2012-01,2473,96,117.9,283.6,121.9,15.3,-17.8
2012-02,2349,95.8,118.4,274.6,60.8,18.4,-16.1
2012-03,2582,95.7,119.1,232.6,52.3,19.4,-9.4
2012-04,2590,95.7,119.4,172.3,4.9,25,-3.3
2012-05,2598,95.8,119.8,144,0,30.4,0.6
2012-06,2738,95.8,119.5,135.8,0,30.6,3.9
2012-07,2623,95.9,119.2,89.6,0,34.4,6.7
